Country,GDP Per Capita,Life Satisfaction
Slovenia,31400.8395120955,6.1668376920000005
South Africa,12294.8761402351,4.513655186
South Korea,35938.3742161469,5.8738870620000005
Spain,34272.360383819105,6.230173111
Sri Lanka,11669.0766785045,4.330945492
Sweden,46949.2830858792,7.286804676
Switzerland,57410.1658575199,7.473593235
Tajikistan,2896.91285075403,5.829234122999999
Tanzania,2683.3040235534,3.347121239
Thailand,16277.6711509397,5.9388952260000005
Togo,1429.8134267459302,4.360805035
Trinidad and Tobago,28763.0707623686,6.191859722
Tunisia,10849.2973861625,4.124342918
Turkey,25129.3406487777,5.607262135
Turkmenistan,16389.023312833102,5.229148865
Uganda,1697.70651058028,4.000516891
Ukraine,7894.392925785809,4.311067104
United Arab Emirates,67293.4827590288,7.039419651
United Kingdom,39753.2438934915,7.103273392
United States,54225.4461231621,6.991759299999999
Uruguay,20551.4094200387,6.336009979
Uzbekistan,6253.10386034453,6.421447754
Vietnam,6171.8841923362,5.1752786639999995
Zambia,3689.25082617978,3.932777405
Zimbabwe,1899.7749771663398,3.63830018
